Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.388440370559692	0	23.0	11.582571	73.0	9.0	23.0	11.582571532382275	5014	5014
10.643895387649536	1	45.50909	24.469181	117.0	16.0	45.50909090909091	24.4691811560232	5006	10020
15.489226579666138	2	68.13333	32.925102	200.0	21.0	68.13333333333334	32.925100185454596	5110	15130
20.537338972091675	3	128.92308	52.465565	200.0	27.0	128.92307692307693	52.465561166171305	5028	20158
25.52262234687805	4	151.11765	39.181904	200.0	85.0	151.11764705882354	39.1819021142057	5138	25296
30.721829652786255	5	168.03334	45.597137	200.0	81.0	168.03333333333333	45.59713684968486	5041	30337
35.68561410903931	6	198.46153	7.692307	200.0	160.0	198.46153846153845	7.692307692307693	5160	35497
40.936227321624756	7	200.0	0.0	200.0	200.0	200.0	0.0	5200	40697
45.88729524612427	8	197.8077	6.4451485	200.0	176.0	197.80769230769232	6.445148627332217	5143	45840
51.10081696510315	9	183.17857	22.219769	200.0	130.0	183.17857142857142	22.219768501154505	5129	50969
55.90478777885437	10	158.125	22.457947	200.0	117.0	158.125	22.457946811763538	5060	56029
61.160032987594604	11	154.36363	30.261305	200.0	107.0	154.36363636363637	30.261304606276134	5094	61123
66.11681771278381	12	139.91667	25.847174	192.0	73.0	139.91666666666666	25.84717371181787	5037	66160
71.35114169120789	13	133.55263	19.714672	200.0	97.0	133.55263157894737	19.714671758578085	5075	71235
76.49445104598999	14	141.19444	29.540762	200.0	101.0	141.19444444444446	29.540762275243832	5083	76318
81.51453852653503	15	153.84848	25.511877	200.0	118.0	153.84848484848484	25.511876274348175	5077	81395
86.75905847549438	16	163.19354	23.81978	200.0	116.0	163.19354838709677	23.819779467084953	5059	86454
91.8362021446228	17	178.13792	19.423988	200.0	130.0	178.13793103448276	19.423988258267475	5166	91620
97.073566198349	18	189.0	16.990192	200.0	147.0	189.0	16.990193249832878	5103	96723
102.25808382034302	19	189.40741	16.02142	200.0	151.0	189.40740740740742	16.02141913365484	5114	101837
107.35514616966248	20	189.66667	14.817408	200.0	146.0	189.66666666666666	14.817407180595248	5121	106958
112.52199530601501	21	191.22223	11.672485	200.0	153.0	191.22222222222223	11.672485321483464	5163	112121
117.50712037086487	22	196.15384	8.332938	200.0	161.0	196.15384615384616	8.332938846678596	5100	117221
122.85480284690857	23	191.74074	13.639791	200.0	155.0	191.74074074074073	13.639790898235923	5177	122398
127.85099172592163	24	194.6923	9.408545	200.0	169.0	194.69230769230768	9.408544523951171	5062	127460
133.21860361099243	25	196.46153	9.4715395	200.0	161.0	196.46153846153845	9.471539429870818	5108	132568
138.41527032852173	26	197.73077	5.687758	200.0	177.0	197.73076923076923	5.687758057088605	5141	137709
143.57221102714539	27	196.8077	8.948654	200.0	167.0	196.80769230769232	8.948653662247963	5117	142826
148.95921730995178	28	188.74074	13.451126	200.0	158.0	188.74074074074073	13.451125775803614	5096	147922
153.9182472229004	29	192.65384	12.904806	200.0	159.0	192.65384615384616	12.904806223598985	5009	152931
159.2373034954071	30	181.85715	20.230307	200.0	145.0	181.85714285714286	20.23030662452868	5092	158023
164.29299449920654	31	186.81482	17.80353	200.0	138.0	186.8148148148148	17.803530729807164	5044	163067
169.4645390510559	32	175.2069	22.461277	200.0	139.0	175.20689655172413	22.461275964530948	5081	168148
174.66018414497375	33	171.06667	17.907043	200.0	148.0	171.06666666666666	17.907043927522547	5132	173280
179.54720282554626	34	162.3871	22.365984	200.0	125.0	162.38709677419354	22.365984281081897	5034	178314
184.83935165405273	35	159.96875	19.10413	200.0	129.0	159.96875	19.104129748237682	5119	183433
189.90386724472046	36	155.60606	17.280115	193.0	130.0	155.6060606060606	17.280115378997863	5135	188568
195.2331621646881	37	161.5	19.84471	200.0	132.0	161.5	19.844709622466134	5168	193736
200.48515582084656	38	166.29033	17.141148	200.0	129.0	166.29032258064515	17.14114752884471	5155	198891
205.68198013305664	39	172.5	17.302698	200.0	140.0	172.5	17.30269728491293	5175	204066
211.05326414108276	40	165.74193	16.154432	195.0	140.0	165.74193548387098	16.154431613957556	5138	209204
216.04799056053162	41	168.86667	20.27763	200.0	125.0	168.86666666666667	20.27762861436766	5066	214270
221.3672695159912	42	167.8	17.27503	200.0	141.0	167.8	17.275030149515416	5034	219304
226.64035820960999	43	165.90323	13.7192	197.0	141.0	165.90322580645162	13.719199729105048	5143	224447
231.62650442123413	44	175.86208	18.645004	200.0	140.0	175.86206896551724	18.645003283548107	5100	229547
236.8563425540924	45	170.56667	16.962082	200.0	143.0	170.56666666666666	16.96208189528108	5117	234664
241.97200345993042	46	178.55173	18.698305	200.0	143.0	178.55172413793105	18.698305670792283	5178	239842
247.31749963760376	47	184.46428	14.707826	200.0	155.0	184.46428571428572	14.70782625207493	5165	245007
252.40960669517517	48	186.18518	13.526482	200.0	157.0	186.1851851851852	13.526481672895873	5027	250034
257.4961373806	49	193.88461	10.153919	200.0	166.0	193.8846153846154	10.15391899740771	5041	255075
262.928866147995	50	199.15384	3.0469694	200.0	186.0	199.15384615384616	3.0469695877443628	5178	260253
268.0742185115814	51	199.0	5.0	200.0	174.0	199.0	5.0	5174	265427
273.46679496765137	52	200.0	0.0	200.0	200.0	200.0	0.0	5200	270627
278.9419529438019	53	200.0	0.0	200.0	200.0	200.0	0.0	5200	275827
284.1739616394043	54	200.0	0.0	200.0	200.0	200.0	0.0	5200	281027
289.5477638244629	55	200.0	0.0	200.0	200.0	200.0	0.0	5200	286227
